epoch	radius	lrate	distance	terror
558	1	0.093	38.64	21.565
559	1	0.093	38.633	21.554
560	1	0.092	38.635	21.549
561	1	0.092	38.634	21.547
562	1	0.092	38.634	21.545
563	1	0.092	38.633	21.543
564	1	0.091	38.632	21.54
565	1	0.091	38.632	21.538
566	1	0.091	38.631	21.536
567	1	0.09	38.63	21.534
568	1	0.09	38.63	21.532
569	1	0.09	38.628	21.531
570	1	0.089	38.625	21.514
571	1	0.089	38.625	21.512
572	1	0.089	38.624	21.51
573	1	0.089	38.624	21.508
574	1	0.088	38.623	21.506
575	1	0.088	38.622	21.505
576	1	0.088	38.621	21.503
577	1	0.087	38.621	21.503
578	1	0.087	38.618	21.497
579	1	0.087	38.62	21.499
580	1	0.087	38.618	21.495
581	1	0.086	38.618	21.493
582	1	0.086	38.613	21.495
583	1	0.086	38.613	21.499
584	1	0.085	38.612	21.499
585	1	0.085	38.612	21.498
586	1	0.085	38.611	21.496
587	1	0.085	38.61	21.494
588	1	0.084	38.613	21.49
589	1	0.084	38.613	21.488
590	1	0.084	38.608	21.482
591	1	0.083	38.601	21.482
592	1	0.083	38.602	21.488
593	1	0.083	38.599	21.478
594	1	0.083	38.595	21.483
595	1	0.082	38.59	21.477
596	1	0.082	38.589	21.479
597	1	0.082	38.587	21.474
598	1	0.081	38.588	21.478
599	1	0.081	38.587	21.477
